Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
75,2421,38,0,1,0,36,0,5,0,38,0,44.2,12.3944
5,2426,17,0,0,0,17,0,1,0,17,0,-34.6333,-60.4667
121,2427,21,0,0,0,4,0,0,0,21,0,-6.2167,-77.85
33,2476,151,3,3,0,119,3,1,0,151,3,41.5757,120.4486
130,2534,38,0,1,0,38,0,0,0,35,0,54.2333,83.3667
130,2537,49,0,1,0,40,0,0,0,49,0,44.2222,42.0575
100,2600,72,2,2,0,4,0,5,0,72,2,17.55,-99.5
166,2693,73,2,1,0,32,0,2,0,73,2,38.8597,-104.6995
22,2761,46,0,1,0,2,0,0,0,46,0,-4.085,-63.1408
164,2762,35,0,1,0,12,0,9,0,35,0,55.8625,-4.0266
73,2766,24,0,0,0,24,0,1,0,16,0,51.851,-8.2967
22,2791,45,0,1,0,14,0,2,0,45,0,-19.5389,-40.6308
45,2838,65,2,1,0,12,0,6,0,65,2,18.8833,-71.7
75,2845,112,4,1,0,34,0,4,0,112,4,45.8103,9.0861
22,2860,19,0,0,0,19,0,0,0,11,0,-11.8139,-37.6108
164,2870,31,0,0,0,31,0,2,0,22,0,54.85,-1.83
166,2885,152,3,4,0,4,0,19,0,152,3,26.0463,-80.2862
166,2893,31,0,1,0,21,0,1,0,31,0,31.1192,-97.914
5,2939,13,0,1,0,12,0,0,0,13,0,-27.4833,-58.8167
75,3002,103,4,2,0,28,0,9,0,103,4,44.7167,11.15
10,3037,52,2,1,0,35,0,0,0,52,2,38.9558,45.6308
146,3039,30,0,0,0,30,0,2,0,13,0,43.2883,-8.3894
69,3049,73,2,0,0,25,0,0,0,73,2,15.1773,73.9939
22,3064,42,0,1,0,2,0,4,0,42,0,-18.7558,-44.4308
58,3072,35,0,0,0,35,0,0,0,30,0,53.8611,8.6944
166,3078,46,0,1,0,25,0,5,0,46,0,26.5392,-81.8999
62,3095,63,2,2,0,13,0,0,0,63,2,10.656,-12.272
54,1172,39,0,1,0,26,0,1,0,39,0,47.025,4.8397
166,1188,56,2,1,0,18,0,6,0,56,2,52.135,-0.47
59,1201,105,4,2,0,13,0,2,0,105,4,6.3833,-0.3833
33,1209,93,2,2,0,90,1,1,0,93,2,41.802,120.7621
22,1220,45,0,0,0,22,0,0,0,45,0,-3.0508,-40.1678
19,1337,54,2,1,0,8,0,1,0,54,2,-22.7322,-64.3425
58,1342,36,0,0,0,29,0,2,0,36,0,51.8,11.7333
166,1347,50,0,1,0,35,0,5,0,50,0,41.0555,-76.2492
69,1365,153,3,1,0,34,0,0,0,153,3,22.68,75.62
166,1373,48,0,1,0,36,0,5,0,48,0,42.5681,-70.8627
130,1381,24,0,0,0,24,0,0,0,24,0,57.7667,36.7
116,1388,179,3,3,0,179,2,2,0,166,3,32.2656,72.8994
69,1395,151,3,1,0,26,0,1,0,151,3,19.2967,73.0631
70,1453,92,2,2,0,45,0,0,0,92,2,3.5986,98.4803
130,931,48,0,1,0,39,0,1,0,48,0,43.6825,43.5339
34,1026,104,4,1,0,16,0,2,0,104,4,10.8,-74.9167
122,1027,51,2,1,0,27,0,1,0,51,2,14.5167,121.2667
155,8857,38,0,0,0,20,0,0,0,38,0,15.8647,100.5858
109,8866,41,0,1,0,27,0,5,0,41,0,52.2667,4.5
166,8939,47,0,1,0,46,0,2,0,47,0,42.13,-71.6547
164,8952,29,0,0,0,29,0,3,0,18,0,52.6286,1.2928
109,9031,37,0,1,0,32,0,3,0,37,0,51.4733,5.5467
32,9035,61,2,2,0,2,0,9,0,61,2,-38.7433,-72.95
100,9039,46,0,1,0,17,0,2,0,46,0,30.4167,-107.9167
166,9074,79,2,2,0,13,0,27,0,79,2,41.7139,-87.7528
166,9077,53,2,1,0,24,0,9,0,53,2,44.9876,-92.9641
77,9120,39,0,1,0,38,0,2,0,39,0,35.25,139.15
128,9146,42,0,1,0,41,0,0,0,42,0,41.1169,20.8019
123,9183,47,0,1,0,36,0,0,0,47,0,54.0333,22.5
58,9189,32,0,1,0,27,0,4,0,32,0,51.7167,7.3833
22,9193,25,0,0,0,6,0,1,0,25,0,-11.3669,-38.3328
166,9262,73,2,2,0,26,0,7,0,73,2,40.2981,-111.6994
166,9269,52,2,1,0,22,0,11,0,52,2,37.8808,-122.179
